"","RAB.mean","GAD.mean","GAD.Total.Adj","CRA.mean","FOC.mean","IUS.mean","MAAS.mean","RiskPerception","FinancialSatisfaction","age","sex","edu","Country"
"96",3.5,1,0,1.33333333333333,2.33333333333333,1,5.8,49.8004646360351,40,60,1,1,"Turkey"
"97",4,2.42857142857143,10,3.5,4,3.33333333333333,3.8,100,50,67,2,3,"Turkey"
"98",3.5,1.71428571428571,5,2.5,3.5,2.66666666666667,3,68,52,51,2,1,"Turkey"
"99",3,1.28571428571429,2,1.5,3,2.66666666666667,3,35,77,65,2,3,"Turkey"
"100",3.83333333333333,1.71428571428571,5,2.16666666666667,3.5,4,3.2,24,29,61,1,2,"Turkey"
"101",3.83333333333333,2,7,3.16666666666667,3.16666666666667,4,3.8,30,61,58,1,3,"Turkey"
"102",4,1.57142857142857,4,3,3.16666666666667,4,3.4,50,80,61,2,3,"Turkey"
"103",3.5,1,0,2,1.5,4.33333333333333,3.4,25,100,33,2,2,"Turkey"
"104",3.5,1,0,2.66666666666667,4,2,3.4,40,44,26,2,1,"Turkey"
"105",4,2.85714285714286,13,3.33333333333333,3,5,2.2,60,9,31,2,3,"Turkey"
"106",4,2.28571428571429,9,1.66666666666667,3.83333333333333,4.33333333333333,3.4,70,10,25,1,1,"Turkey"
"107",3.83333333333333,2.14285714285714,8,2.83333333333333,2.66666666666667,2,3.6,91,21,53,1,3,"Turkey"
"108",3.83333333333333,1.42857142857143,3,1.83333333333333,2.5,3.33333333333333,4,30,85,28,1,3,"Turkey"
"109",3.16666666666667,2.14285714285714,8,3.83333333333333,3.83333333333333,3,2.8,15,10,25,2,3,"Turkey"
"110",3.66666666666667,1.14285714285714,1,1.5,3.33333333333333,2.33333333333333,5,20,85,55,1,2,"Turkey"
"111",2.33333333333333,1.14285714285714,1,2.33333333333333,3.66666666666667,3.66666666666667,3.2,84,70,66,2,3,"Turkey"
"112",3.66666666666667,2.85714285714286,13,2.83333333333333,4,4.33333333333333,4.2,79,81,50,1,3,"Turkey"
"113",2.83333333333333,1.71428571428571,5,3.33333333333333,4.5,4.33333333333333,3.4,90,70,22,1,3,"Turkey"
"114",4,2,7,3.83333333333333,3.33333333333333,2.66666666666667,2.4,70,40,26,2,3,"Turkey"
"115",3.83333333333333,1.28571428571429,2,2,3.16666666666667,3.66666666666667,3.4,39,49,50,2,3,"Turkey"
"116",4,2.42857142857143,10,3.83333333333333,4,3,3.8,90,50,45,2,3,"Turkey"
"117",3.83333333333333,2.57142857142857,11,2.83333333333333,3.5,3.66666666666667,2.4,18,64,67,2,3,"Turkey"
"118",3,1,0,1.5,2.83333333333333,2.33333333333333,3.2,33,48,65,2,3,"Turkey"
"119",3.66666666666667,1.14285714285714,1,3.33333333333333,3.66666666666667,3,4.8,26,36,36,1,2,"Turkey"
"120",3.66666666666667,2.71428571428571,12,3.16666666666667,3.16666666666667,3.66666666666667,2.4,50,50,66,1,3,"Turkey"
"121",3.66666666666667,2.42857142857143,10,2.5,3.33333333333333,3.66666666666667,3.2,52,56,57,1,3,"Turkey"
"122",3.16666666666667,1.28571428571429,2,2,3.5,4,2.8,30,100,29,1,3,"Turkey"
"123",3.33333333333333,1.71428571428571,5,1.66666666666667,2.5,2.66666666666667,4.6,75,50,57,2,3,"Turkey"
"124",2.33333333333333,2.42857142857143,10,2.66666666666667,3.83333333333333,3.66666666666667,3.4,91,42,22,1,1,"Turkey"
"125",4,3,14,3.83333333333333,2.83333333333333,4,2.6,60,20,33,1,3,"Turkey"
"126",4,1.28571428571429,2,2.83333333333333,3.5,4,2.8,50,60,35,1,3,"Turkey"
"127",4,2.57142857142857,11,3.33333333333333,3.5,3.33333333333333,5,50,55,62,2,3,"Turkey"
"128",3.83333333333333,2,7,1.66666666666667,3.16666666666667,1.66666666666667,3.8,30,64,34,1,2,"Turkey"
"129",4,1.85714285714286,6,3.16666666666667,2.5,3.33333333333333,2.8,81,50,31,2,1,"Turkey"
"130",3.5,2,7,3.5,3.16666666666667,4.33333333333333,3.4,45,88,23,2,1,"Turkey"
"131",3.5,1,0,3.33333333333333,2.83333333333333,3.66666666666667,2.8,11,46,51,1,2,"Turkey"
"132",3.33333333333333,1.71428571428571,5,2.33333333333333,2.66666666666667,2.33333333333333,3.6,49,51,64,1,1,"Turkey"
"133",3.33333333333333,1.85714285714286,6,3.66666666666667,3.33333333333333,4.33333333333333,2.2,0,0,51,1,1,"Turkey"
"134",4,1.71428571428571,5,1.83333333333333,2.66666666666667,1.66666666666667,5.4,13,100,41,1,3,"Turkey"
"135",3.83333333333333,1.14285714285714,1,1.5,4,1,4.4,100,53,34,2,2,"Turkey"
"136",4,1,0,2.33333333333333,3.33333333333333,3.33333333333333,2.8,17,39,55,1,3,"Turkey"
"137",3.16666666666667,1.71428571428571,5,2.83333333333333,2.83333333333333,3,3,51,70,39,2,1,"Turkey"
"138",3.83333333333333,1.28571428571429,2,2.5,3.83333333333333,2.66666666666667,4.8,25,51,65,2,3,"Turkey"
"139",3.66666666666667,1.42857142857143,3,2.33333333333333,2.66666666666667,2,4.2,7,36,31,1,3,"Turkey"
"140",4,1.71428571428571,5,3.16666666666667,2.33333333333333,4.33333333333333,3,53,11,50,1,3,"Turkey"
"141",4,1.42857142857143,3,2.83333333333333,4,3,3.8,50,90,50,1,2,"Turkey"
"142",3.83333333333333,3.71428571428571,19,3.33333333333333,3.5,4.66666666666667,2.6,25,12,29,1,2,"Turkey"
"143",4,1,0,2.16666666666667,3,2.33333333333333,4.8,36,44,34,1,2,"Turkey"
"144",4,1.71428571428571,5,2.5,2.83333333333333,5,4,26,53,58,1,3,"Turkey"
"145",3.66666666666667,1.14285714285714,1,2,2.66666666666667,2.33333333333333,4.2,49,35,44,1,3,"Turkey"
"146",2.33333333333333,1.14285714285714,1,2.33333333333333,4.66666666666667,4.33333333333333,3.8,15,79,38,1,2,"Turkey"
"147",3.83333333333333,1.57142857142857,4,2,3.33333333333333,3.66666666666667,3.6,0,40,30,2,3,"Turkey"
"148",4,1.71428571428571,5,3.5,3,5,4.2,44,65,43,1,1,"Turkey"
"149",3.83333333333333,1,0,2.16666666666667,3,1.66666666666667,4.2,25,75,58,1,3,"Turkey"
"150",3.83333333333333,1.57142857142857,4,3.33333333333333,4.83333333333333,2.33333333333333,6,50,40,58,2,3,"Turkey"
"151",3.66666666666667,1.71428571428571,5,2.16666666666667,3,3.33333333333333,3.2,50,35,22,1,1,"Turkey"
"152",4,1,0,3.16666666666667,2,4.33333333333333,3,3,51,66,2,1,"Turkey"
"153",3.66666666666667,3.28571428571429,16,3.5,3.66666666666667,4.66666666666667,3,34,30,33,2,3,"Turkey"
"154",3.66666666666667,2.28571428571429,9,3,3,4,3,30,60,57,1,1,"Turkey"
"155",3.83333333333333,2,7,3.16666666666667,4,4.66666666666667,2.4,50,40,50,1,3,"Turkey"
"156",1.5,1.71428571428571,5,2.33333333333333,3,3.33333333333333,3.6,71,54,53,1,3,"Turkey"
"157",3.83333333333333,2.42857142857143,10,3.16666666666667,4.33333333333333,3.66666666666667,4,40,70,30,1,2,"Turkey"
"158",3.83333333333333,2.28571428571429,9,4,3.66666666666667,3,3.6,58,0,20,1,1,"Turkey"
"159",2.16666666666667,2,7,3.16666666666667,3.33333333333333,3,4,50,20,25,1,2,"Turkey"
"160",3.33333333333333,2.42857142857143,10,3,3,3.66666666666667,3.8,87,80,50,2,2,"Turkey"
"161",3.66666666666667,1,0,2.16666666666667,3.66666666666667,3.66666666666667,3,45,75,23,1,1,"Turkey"
"162",3.16666666666667,1.57142857142857,4,3.16666666666667,4,3.33333333333333,3.8,60,60,63,2,3,"Turkey"
"163",4,1.42857142857143,3,1.83333333333333,3,2.66666666666667,3.8,18,50,64,1,3,"Turkey"
"164",4,1.71428571428571,5,3.33333333333333,3.5,4,2.8,50,25,29,1,2,"Turkey"
